baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,rank_DESEQ
9886.00302,0.82438289,0.20924286,3.93983758,8.15E-05,0.00170245,SNURF,153
3490.14954,0.48562146,0.12343464,3.93423977,8.35E-05,0.00173326,TPRKB,154
2763.41833,0.58116561,0.14784635,3.93087545,8.46E-05,0.00175143,GPR37L1,155
2808.24184,0.59456972,0.15138091,3.92764003,8.58E-05,0.00177199,TSHB,156
4122.10346,0.46642908,0.11889698,3.92296835,8.75E-05,0.00180267,P2RX5,157
6911.59521,0.39314043,0.10023168,3.9223172,8.77E-05,0.00180267,COASY,158
782.177936,0.88721279,0.22654034,3.91635675,8.99E-05,0.00184059,F2RL2,159
2450.49179,0.64556171,0.16498329,3.91289144,9.12E-05,0.00186065,SNAPC5,160
6668.7746,0.51465507,0.13154399,3.91241794,9.14E-05,0.00186104,TXN,161
597.802219,1.18563747,0.3034385,3.90734029,9.33E-05,0.00188733,MID2,162
1598.34817,0.75882855,0.19455303,3.90036866,9.60E-05,0.00193577,ADAT2,163
963.666183,0.97951425,0.25151666,3.89443089,9.84E-05,0.00197608,RAB8A,164
2986.02143,0.71459961,0.18350751,3.89411641,9.86E-05,0.00197608,EID3,165
7576.12066,0.64961603,0.16719229,3.88544249,0.00010214,0.00204446,BATF,166
1229.78942,1.16162848,0.29912123,3.88347056,0.00010298,0.00205757,DCT,167
6009.35516,0.97140414,0.25060411,3.8762499,0.00010608,0.00210507,DTNA,168
8399.03345,0.61027903,0.15768436,3.87025715,0.00010872,0.00214649,ELN,169
444.258582,1.21247535,0.31351169,3.8674008,0.00011,0.00216787,CNOT2,170
4925.66019,0.55497317,0.14355674,3.86588038,0.00011069,0.00216963,CALCB,171
1628.38003,0.70994453,0.1836581,3.86557694,0.00011083,0.00216963,MAB21L2,172
420.691128,1.68742433,0.43716597,3.85991692,0.00011343,0.00221676,GRIK2,173
2249.25912,0.61825266,0.16020537,3.85912561,0.00011379,0.00221825,ACP2,174
1290.84135,0.83403904,0.21613208,3.85893214,0.00011388,0.00221825,PLPPR2,175
2146.1132,0.81935301,0.21236584,3.85821482,0.00011422,0.00222104,BDKRB2,176
28088.6884,1.1967965,0.31077402,3.85101854,0.00011763,0.0022759,IFITM3,177
2871.89631,1.00102261,0.25997692,3.85042872,0.00011791,0.00227759,IDH3B,178
2205.72497,0.63146366,0.16418866,3.84596394,0.00012008,0.00229369,SYS1,179
1844.49232,1.32525275,0.34478831,3.84367078,0.00012121,0.00230672,IFNA21,180
954.978473,0.88562937,0.2304949,3.8422949,0.00012189,0.0023159,ADPRS,181
